state,region,total_orders,total_sales,net_profit_loss,profit_margin_pct,avg_discount_pct
Thủ Dô Hà Nội,Southeast Asia,27,11054.37,-1991.58,-18.02,24.71
Cross River,Africa,8,1118.35,-1911.38,-170.91,70.0
Sindh,Central Asia,15,5976.81,-1894.2,-31.69,45.31
Panevezys,EMEA,4,1472.91,-1881.66,-127.75,70.0
Ashgabat,EMEA,10,1137.01,-1859.45,-163.54,70.0
Santa Catarina,South,41,20523.65,-1847.77,-9.0,30.49
Pavlodar,EMEA,11,1010.8,-1810.31,-179.1,70.0
San Pedro de Macorís,Caribbean,19,8015.45,-1781.01,-22.22,25.96
Benue,Africa,4,1790.16,-1761.96,-98.42,70.0
Kampala,Africa,15,1151.97,-1753.56,-152.22,70.0
Kutahya,EMEA,3,2514.91,-1722.95,-68.51,60.0
Provincia de Buenos Aires,South,19,3659.44,-1666.08,-45.53,43.18
Balikesir,EMEA,11,2065.5,-1642.8,-79.54,60.0
Santa Fe,South,25,5696.98,-1581.76,-27.76,41.84
Busan,North Asia,5,2435.74,-1581.26,-64.92,47.86
Gyeonggi,North Asia,13,7445.19,-1551.96,-20.85,42.5
F.C.T.,Central Asia,6,2921.41,-1537.76,-52.64,46.0
Santiago,Caribbean,47,12878.6,-1489.82,-11.57,24.64
Gisborne,Oceania,4,1433.76,-1481.04,-103.3,60.0
Abia,Africa,9,1064.12,-1475.56,-138.66,70.0
Córdoba,South,12,3234.53,-1471.43,-45.49,42.51
Alagoas,South,27,6611.85,-1449.63,-21.92,36.79
Qaraghandy,EMEA,10,938.87,-1398.13,-148.92,70.0
Mardin,EMEA,5,1653.9,-1397.94,-84.52,60.0
Västra Götaland,North,14,3691.83,-1396.92,-37.84,51.25
Borno,Africa,10,777.41,-1332.49,-171.4,70.0
Batman,EMEA,4,1190.29,-1323.47,-111.19,60.0
Chaco,South,8,3754.94,-1305.48,-34.77,45.23
Cordillera,Southeast Asia,7,5740.52,-1302.25,-22.69,33.82
Plateau,Africa,8,780.66,-1282.53,-164.29,70.0
Kayseri,EMEA,12,1752.43,-1194.14,-68.14,60.0
Oregon,West,56,17431.15,-1190.47,-6.83,28.87
South Denmark,North,11,3140.09,-1163.74,-37.06,50.8
Lebap,EMEA,2,644.96,-1161.16,-180.04,70.0
Baluchistan,Central Asia,5,1901.19,-1132.14,-59.55,50.0
Lara,South,5,1444.12,-1072.66,-74.28,46.0
Miranda,South,10,2250.72,-1057.06,-46.97,40.01
San Luis,South,3,2797.46,-1056.06,-37.75,40.0
Astana,EMEA,6,658.06,-1051.7,-159.82,70.0
Tekirdag,EMEA,7,1160.02,-1040.57,-89.7,60.0
Skåne,North,5,2235.96,-1021.08,-45.67,50.0
Kirsehir,EMEA,3,1145.04,-1010.52,-88.25,60.0
Zulia,South,18,4208.94,-994.14,-23.62,40.01
Bauchi,Africa,3,631.3,-980.21,-155.27,70.0
Anzoátegui,South,8,1565.08,-971.86,-62.1,41.88
Gunma,North Asia,4,3566.68,-950.45,-26.65,44.44
Anambra,Africa,8,700.87,-945.83,-134.95,70.0
Hatay,EMEA,7,1025.87,-909.28,-88.64,60.0
Manisa,EMEA,12,1146.94,-906.5,-79.04,60.0
Eskisehir,EMEA,9,934.72,-889.22,-95.13,60.0
Almaty City,EMEA,14,594.13,-875.24,-147.32,70.0
Nelson,Oceania,5,2859.21,-862.71,-30.17,40.0
Trabzon,EMEA,5,1313.52,-852.42,-64.9,60.0
Denizli,EMEA,6,1104.28,-850.28,-77.0,60.0
Aydin,EMEA,7,1165.6,-850.16,-72.94,60.0
Qostanay,EMEA,5,652.17,-819.9,-125.72,70.0
Niger,Africa,6,443.49,-809.13,-182.44,70.0
Coimbra,South,2,1896.03,-806.85,-42.55,50.0
Konya,EMEA,15,945.2,-793.18,-83.92,60.0
Maranhão,South,35,16874.15,-778.41,-4.61,32.51
Porto,South,10,1564.68,-777.75,-49.71,50.0
San Juan,South,5,2094.8,-768.3,-36.68,40.02
Uppsala,North,3,1340.46,-760.08,-56.7,50.0
Gyeongsangnam,North Asia,4,2481.3,-752.94,-30.34,42.5
Aqmola,EMEA,3,528.57,-743.76,-140.71,70.0
Riau,Southeast Asia,14,5980.65,-719.31,-12.03,34.0
Igdir,EMEA,3,974.39,-708.67,-72.73,60.0
Duarte,Caribbean,16,5593.56,-707.58,-12.65,22.92
Ra's Al Khaymah,EMEA,3,534.13,-704.15,-131.83,70.0
Imo,Africa,3,616.29,-675.57,-109.62,70.0
Yobe,Africa,4,516.06,-660.06,-127.9,70.0
Kahramanmaras,EMEA,6,832.19,-655.36,-78.75,60.0
Diyarbakir,EMEA,10,789.08,-633.67,-80.3,60.0
Ucayali,South,2,1433.32,-628.42,-43.84,45.03
Bingol,EMEA,3,938.38,-591.98,-63.09,60.0
Ibb,EMEA,1,354.56,-590.98,-166.68,70.0
Van,EMEA,8,718.74,-590.49,-82.16,60.0
Yoro,Central,16,1873.68,-585.72,-31.26,40.01
Sanliurfa,EMEA,8,590.14,-583.4,-98.86,60.0
Ogun,Africa,5,373.4,-562.69,-150.69,70.0
Gulu,Africa,1,364.81,-511.07,-140.09,70.0
Aragua,South,7,1851.75,-498.01,-26.89,40.03
Guárico,South,2,920.15,-497.35,-54.05,40.04
Chubut,South,2,1285.83,-492.95,-38.34,52.0
Osmaniye,EMEA,4,486.16,-489.32,-100.65,60.0
Ica,South,1,1007.09,-485.83,-48.24,45.03
Drenthe,Central,9,1838.55,-473.55,-25.76,47.86
Akwa Ibom,Africa,2,281.4,-473.16,-168.14,70.0
Osun,Africa,5,247.22,-466.81,-188.82,70.0
Khánh Hòa,Southeast Asia,2,1233.12,-452.55,-36.7,27.0
Western Visayas,Southeast Asia,9,3463.36,-451.97,-13.05,35.43
Bolu,EMEA,3,491.24,-451.84,-91.98,60.0
Corum,EMEA,3,487.3,-450.92,-92.54,60.0
Kocaeli,EMEA,8,727.43,-448.9,-61.71,60.0
Ulsan,North Asia,4,742.93,-436.88,-58.81,45.0
Braga,South,2,460.98,-431.28,-93.56,50.0
Ondo,Africa,7,280.75,-427.09,-152.12,70.0
Yaracuy,South,1,908.8,-424.3,-46.69,40.07
Corrientes,South,3,945.75,-423.13,-44.74,46.71
National Capital,Oceania,9,2928.14,-418.6,-14.3,43.18
Elazig,EMEA,2,522.85,-418.46,-80.03,60.0
Otago,Oceania,9,2678.89,-411.59,-15.36,40.0
Katsina,Africa,5,232.22,-404.26,-174.09,70.0
Malatya,EMEA,4,530.57,-403.48,-76.05,60.0
Artibonite,Caribbean,6,1426.21,-386.31,-27.09,42.52
Nevsehir,EMEA,4,320.74,-385.55,-120.21,60.0
Sardinia,South,13,4092.22,-376.46,-9.2,15.42
Almaty,EMEA,3,200.8,-372.26,-185.39,70.0
Sivas,EMEA,5,675.44,-361.96,-53.59,60.0
Mendoza,South,8,2222.38,-346.9,-15.61,43.16
Adiyaman,EMEA,3,502.5,-346.86,-69.03,60.0
Aveiro,South,1,341.48,-341.48,-100.0,50.0
Canakkale,EMEA,3,330.43,-336.56,-101.85,60.0
'Ajman,EMEA,3,209.99,-332.71,-158.44,70.0
Portuguesa,South,3,914.11,-300.85,-32.91,40.0
Adamawa,Africa,3,186.11,-289.03,-155.3,70.0
Mary,EMEA,4,245.1,-282.09,-115.09,70.0
Erzurum,EMEA,7,342.58,-275.9,-80.54,60.0
Friesland,Central,4,491.47,-275.75,-56.11,45.0
Daegu,North Asia,6,1772.75,-271.15,-15.3,44.0
Amasya,EMEA,2,252.59,-267.91,-106.07,60.0
Khatlon,EMEA,2,242.78,-262.87,-108.27,70.0
Halland,North,1,835.5,-262.8,-31.45,50.0
Moquegua,South,1,287.16,-259.08,-90.22,50.0
Samsun,EMEA,3,399.05,-251.47,-63.02,60.0
Peravia,Caribbean,6,705.46,-249.06,-35.31,28.0
Río Negro,South,1,409.82,-245.94,-60.01,40.0
Zealand,North,1,242.7,-245.04,-100.97,53.33
Nigde,EMEA,1,213.84,-227.79,-106.52,60.0
Loreto,South,4,438.72,-221.68,-50.53,40.0
Kars,EMEA,1,331.56,-204.0,-61.53,60.0
La Rioja,South,1,355.38,-201.42,-56.68,40.0
Colón,Central,7,2974.79,-201.17,-6.76,40.0
Zamfara,Africa,1,135.34,-191.03,-141.14,70.0
Bolivar,South,7,1429.84,-186.2,-13.02,40.0
Siirt,EMEA,1,205.37,-184.96,-90.06,60.0
Nakhon Ratchasima,Southeast Asia,6,1002.15,-183.3,-18.29,40.75
Khyber Pakhtunkhwa,Central Asia,7,2010.93,-181.95,-9.05,45.0
Al Hudaydah,EMEA,3,78.98,-177.25,-224.44,70.0
Mashonaland West,Africa,1,104.36,-173.98,-166.7,70.0
Pernambuco,South,44,18232.55,-170.89,-0.94,25.08
Klaipeda,EMEA,2,121.07,-164.89,-136.2,70.0
Šiauliai,EMEA,2,96.56,-164.74,-170.61,70.0
Puno,South,3,342.9,-162.36,-47.35,40.0
Galway,North,1,238.65,-162.3,-68.01,50.0
Jinja,Africa,2,101.58,-155.97,-153.54,70.0
Isparta,EMEA,1,103.9,-145.46,-140.01,60.0
Ibaraki,North Asia,3,1594.73,-143.54,-9.0,37.5
Dà Nang,Southeast Asia,4,3814.48,-140.18,-3.68,24.0
La Vega,Caribbean,12,2686.41,-139.07,-5.18,26.48
Junín,South,3,863.52,-138.48,-16.04,40.0
Sokoto,Africa,2,85.65,-137.34,-160.34,70.0
Aksaray,EMEA,2,110.2,-136.37,-123.76,60.0
Värmland,North,2,514.64,-136.03,-26.43,52.0
Södermanland,North,1,283.26,-136.02,-48.02,50.0
Kilis,EMEA,1,118.76,-135.13,-113.78,60.0
Misiones,South,2,306.42,-128.14,-41.82,40.0
Tokat,EMEA,1,155.93,-113.41,-72.73,60.0
Espaillat,Caribbean,3,1039.12,-110.78,-10.66,27.2
Zeeland,Central,1,208.44,-100.17,-48.06,50.0
South Dublin,North,4,334.26,-99.36,-29.73,50.0
Arequipa,South,2,692.66,-97.66,-14.1,40.0
Jujuy,South,2,315.83,-97.55,-30.89,40.0
Salta,South,6,232.66,-90.74,-39.0,45.0
Nueva Esparta,South,1,269.88,-87.38,-32.38,40.0
Mato Grosso,South,13,3568.34,-86.58,-2.43,31.59
La Pampa,South,1,229.28,-85.56,-37.31,40.0
Papua,Southeast Asia,3,2756.28,-84.96,-3.08,37.0
Basilicata,South,2,177.79,-81.08,-45.61,30.0
San Juan,Caribbean,10,4080.42,-79.82,-1.96,23.51
Entre Ríos,South,4,376.54,-76.64,-20.35,40.04
Düzce,EMEA,1,65.2,-75.5,-115.81,60.0
Sirnak,EMEA,2,108.98,-73.75,-67.67,60.0
Valle del Cauca,South,5,1427.2,-73.42,-5.14,2.5
Piura,South,3,353.28,-73.18,-20.71,40.0
Monseñor Nouel,Caribbean,2,159.1,-72.82,-45.77,35.0
Abuja Capital Territory,Africa,2,38.02,-67.61,-177.86,70.0
Ancash,South,3,268.73,-64.15,-23.87,40.0
Vargas,South,2,534.88,-62.96,-11.77,40.0
La Romana,Caribbean,26,7607.08,-61.2,-0.8,23.0
Kalimantan Selatan,Southeast Asia,6,536.48,-59.68,-11.12,37.0
Sucre,South,1,173.69,-58.61,-33.75,40.0
Ebonyi,Africa,1,34.33,-57.23,-166.74,70.0
Ordu,EMEA,4,125.29,-55.16,-44.02,60.0
Aceh,Southeast Asia,3,337.51,-49.67,-14.72,28.67
Iringa,Africa,1,462.35,-46.33,-10.02,10.0
Nusa Tenggara Barat,Southeast Asia,4,5010.82,-45.02,-0.9,20.75
Yalova,EMEA,2,35.46,-42.75,-120.56,60.0
Gombe,Africa,3,48.11,-42.16,-87.65,70.0
South Chungcheong,North Asia,1,46.8,-42.12,-90.0,50.0
Lombardy,South,79,35027.87,-41.32,-0.12,13.93
Usak,EMEA,2,46.92,-39.0,-83.12,60.0
Mérida,South,1,60.96,-38.64,-63.39,40.0
Callao,South,2,162.59,-36.15,-22.24,40.0
Santiago del Estero,South,2,483.46,-34.34,-7.1,47.5
Magdalena,South,4,3109.88,-32.96,-1.06,2.53
Central Jutland,North,1,33.68,-29.5,-87.6,55.0
Zhambyl,EMEA,2,22.05,-28.59,-129.66,70.0
Catamarca,South,1,46.8,-27.36,-58.46,55.0
Neuquén,South,2,509.08,-26.14,-5.14,40.0
Karaman,EMEA,1,51.12,-25.83,-50.53,60.0
Jeju,North Asia,1,621.48,-22.32,-3.59,40.0
Cajamarca,South,1,174.71,-21.91,-12.54,40.0
Edirne,EMEA,1,18.53,-20.86,-112.6,60.0
Extremadura,South,1,228.53,-20.35,-8.91,10.0
Afyonkarahisar,EMEA,2,43.1,-19.3,-44.77,60.0
Kastamonu,EMEA,1,25.78,-18.08,-70.16,60.0
Ulaanbaatar,North Asia,1,40.23,-17.01,-42.28,50.0
Gangwon,North Asia,1,22.41,-16.59,-74.03,50.0
Rize,EMEA,1,18.53,-15.76,-85.07,60.0
La Libertad,South,3,97.72,-14.62,-14.97,40.0
Manicaland,Africa,2,11.85,-13.86,-116.91,70.0
Ruvuma,Africa,1,273.46,-12.2,-4.46,10.0
Setúbal,South,1,182.29,-11.03,-6.05,50.0
Ardahan,EMEA,1,35.66,-10.78,-30.22,60.0
Lambayeque,South,1,31.54,-8.42,-26.71,40.0
Tarija,South,1,1858.16,-7.02,-0.38,6.67
Ho Chí Minh City,Southeast Asia,78,43260.18,-5.76,-0.01,23.42
Kabarole,Africa,1,3.57,-5.49,-153.57,70.0
Matabeleland North,Africa,1,3.46,-5.32,-153.68,70.0
Tỉnh Cần Thơ,Southeast Asia,6,1983.18,-4.41,-0.22,26.23
Cojedes,South,1,114.06,-3.34,-2.93,40.0
Ayacucho,South,3,608.3,-1.32,-0.22,40.0
Táchira,South,2,32.7,-0.54,-1.65,40.0
